1,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320399351i/1885.jpg,Pride and Prejudice,Jane Austen,Romance,estera@gmail.com,15,FixedPrice,A classic romance exploring societal norms and love.,0
-,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1483183484i/33648131.jpg,The Notebook,Nicholas Sparks,Romance,lorena@gmail.com,12,NegociablePrice,A poignant tale of enduring love and memories.,5
3,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1621624081i/57693262.jpg,Cleopatra and Frankenstein,Coco Mellors,Romance,crina@gmail.com,18,FixedPrice,An unconventional love story blending history and fantasy.,0
4,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1659086907i/10964.jpg,Outlander,Diana Gabaldon,Romance,anastasia@gmail.com,20,FixedPrice,Time-traveling romance set against the backdrop of Scottish history.,0
5,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1665087720i/17347634.jpg,Me Before You,Jojo Moyes,Romance,rares@gmail.com,14,NegociablePrice,A touching narrative about love,8
6,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1684638853i/2429135.jpg,The Girl with the Dragon Tattoo,Stieg Larsson,Thriller,estera@gmail.com,25,FixedPrice,A gripping mystery with a complex female protagonist.,0
7,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1579621267i/968.jpg,The Da Vinci Code,Dan Brown,Thriller,lorena@gmail.com,22,FixedPrice,An intellectual thriller unraveling secrets of history and religion.,0
8,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1554086139i/19288043.jpg,Gone Girl,Gillian Flynn,Thriller,crina@gmail.com,20,NegociablePrice,A psychological thriller exploring the complexities of marriage.,15
9,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1574805682i/22557272.jpg,The Girl on the Train,Paula Hawkins,Thriller,anastasia@gmail.com,18,FixedPrice,A suspenseful narrative centered around unreliable narration.,0
10,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1668782119i/40097951.jpg,The Silent Patient,Alex Michaelides,Thriller,rares@gmail.com,24,FixedPrice,A psychological thriller with unexpected twists.,0
11,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1164045516i/3590.jpg,The Adventures of Sherlock Holmes,Arthur Conan Doyle,Mystery,estera@gmail.com,16,FixedPrice,Classic detective stories featuring the iconic Sherlock Holmes.,0
